OBJECTID,CODIGO,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,altitud,latitud,longitud,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,CORRIENTE,FECHA_SUSPENSION,SUBZONA_HIDROGRAFICA,ENTIDAD
1,52057100,RUMICHACA - AUT [52057100] ,Limnigráfica,Automática con Telemetría,Activa,2016-11-15,2582,0.81378611,-77.66197778,Nariño,Ipiales,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Guaitara,,Río Guáitara,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
2,52055170,LA JOSEFINA - AUT [52055170],Climática Principal,Automática con Telemetría,Activa,2005-12-10,2450,0.93030556,-77.49119444,Nariño,Contadero,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Guaitara,,Río Guáitara,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
3,52055220,EL PARAISO - AUT [52055220],Climática Principal,Automática con Telemetría,Activa,2004-03-01,3120,1.07061111,-77.63688889,Nariño,Túquerres,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Guaitara,,Río Guáitara,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
4,44015070,EL PEPINO - AUT [44015070],Climática Principal,Automática con Telemetría,Activa,2005-11-11,760,1.08288889,-76.66711111,Putumayo,Mocoa,Area Operativa 07 - Nariño-Putumayo,Amazonas,Caquetá,Guaitara,,Alto Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
5,48015040,PUERTO NARINO - AUT [48015040],Climática Principal,Automática con Telemetría,Activa,2005-07-19,158,-3.78030556,-70.36263889,Amazonas,Puerto Nariño,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Amazonas,Amazonas - Directos,Amazonas,,Directos Río Amazonas (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
6,44135020,CAHUINARI - AUT [44135020],Climática Principal,Automática con Telemetría,Suspendida,2006-02-04,118,-1.35166667,-70.80375,Amazonas,Santander (Araracuara),Area Operativa 04 - Huila-Caquetá,Amazonas,Caquetá,Amazonas,2011-08-04,Río Caqueta Bajo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
7,44135030,CHIRIBIQUETE - AUT [44135030],Climática Principal,Automática con Telemetría,Suspendida,2006-02-04,256,-0.07416667,-72.45138889,Caquetá,Solano,Area Operativa 04 - Huila-Caquetá,Amazonas,Yarí,Amazonas,2011-07-29,Río Mesay,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
8,52055150,CERRO PARAMO  - AUT [52055150],Climática Principal,Automática con Telemetría,Activa,2005-12-08 19:00,3585,0.84311111,-77.38880556,Nariño,Puerres,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,0,,Río Guáitara,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
9,44037040,EL ROSARIO - AUT [44037040],Limnigráfica,Automática con Telemetría,Activa,1964-08-15,600,1.72525,-75.66638889,Caquetá,Florencia (Caquetá),Area Operativa 04 - Huila-Caquetá,Amazonas,Caquetá,CarañO,,Río Orteguaza,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
10,52077020,LOS NORTES - AUT [52077020],Limnigráfica,Automática con Telemetría,Activa,1984-09-15,340,1.74111111,-77.53111111,Nariño,Cumbitara,Area Operativa 07 - Nariño-Putumayo,Pacifico,Patía,Patia,,Río Patia Medio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
